"Number","x","y","Species","DBH","Height","CrownRadius","CrownDiameter","CrownArea","CrownBaseHeight","CrownLength","CanopyFuelMass","MortalityProbability","Status"
1,9.30883107706904,6.05652793310583,"PIED",12.7135332728069,6.52799195322851,1.55735378043108,3.11470756086216,7.61946424756217,1.3,5.22799195322851,35.4674043517388,0,"live"
2,14.97337104287,2.9719009809196,"PIED",13.2663404466368,6.69437651329652,1.58654192063102,3.17308384126204,7.90775082765161,1.3,5.39437651329652,38.6681772604998,0,"live"
3,5.62581336591393,10.9410892566666,"PIED",17.1772298762658,7.76035009147127,1.77300397635801,3.54600795271602,9.87573190977251,1.3,6.46035009147127,65.3316669644546,0,"live"
4,18.192121903412,0.732800178229809,"PIED",29.113690256824,10.0625350904078,2.19519932965895,4.39039865931789,15.1390211429144,1.38181123165206,8.68072385875572,190.671736766539,0,"live"
5,10.1013865694404,15.5740592628717,"JUSO",5,3.51199216928595,0.946574298545191,1.89314859709038,2.81487613661164,1.3,2.21199216928595,4.97773613737965,0,"live"
7,14.5702950935811,18.1620012130588,"PIED",16.3133764711778,7.54076468210426,1.73453402160809,3.46906804321618,9.45182164520891,1.3,6.24076468210426,58.8346160346937,0,"live"
8,11.6524673998356,8.49281819537282,"PIED",26.3828953473759,9.63921956182498,2.11309323659353,4.22618647318705,14.0277233612504,1.35127629102831,8.28794327079668,156.118177764677,0,"live"
9,7.80329897534102,5.84495168179274,"PIED",23.5857443219897,9.14817434116603,2.02122269363713,4.04244538727426,12.834477829931,1.30352561992366,7.84464872124237,124.350504207974,0,"live"
10,18.5384340304881,17.5990798417479,"PIED",5,3.71780537488748,1.03284767760639,2.06569535521277,3.35137038288831,1.3,2.41780537488748,5.33430690842092,0,"live"
11,13.1559589738026,9.45329377893358,"PIED",21.6426811420998,8.7688036552437,1.95207039346298,3.90414078692596,11.9712864300875,1.3,7.4688036552437,104.436027607108,0,"live"
